config_id,strategy_key,strategy_label,model_family,balance_strategy,loss_name,negative_ratio,learning_rate,hidden_channels,dropout,threshold,optimizer,screening_epochs,full_validation_epochs,train_ratio,seed,stage,scenario,model_path,cached,training_wall_seconds,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,N_pairs,tp,fp,fn,tn
weighted_bce_lr0p001_h16_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p4/graph_SOR2_D5_seed42.pkl,False,3.264506,0.288889,0.288889,839.09317,839.09317,0.015493,45,13,32,0,0
weighted_bce_lr0p001_h16_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p4/graph_SOR4_D5_seed42.pkl,False,0.810024,0.2,0.2,744.170861,744.170861,0.051064,190,38,152,0,0
weighted_bce_lr0p001_h16_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p4/graph_SOR8_D5_seed42.pkl,False,1.838977,0.264368,0.221411,729.164184,870.63143,0.132088,435,91,318,2,24
weighted_bce_lr0p001_h16_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p4/graph_SOR16_D3_seed42.pkl,False,0.666197,0.215686,0.215686,649.078169,649.078169,0.050841,153,33,120,0,0
weighted_bce_lr0p001_h16_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p4/graph_SOR16_D5_seed42.pkl,False,2.252793,0.213793,0.213793,548.877383,548.877383,0.169437,435,93,342,0,0
weighted_bce_lr0p001_h16_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p5/graph_SOR2_D5_seed42.pkl,False,0.227988,0.666667,0.117647,252.798033,1432.522188,0.020942,45,2,4,11,28
weighted_bce_lr0p001_h16_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p5/graph_SOR4_D5_seed42.pkl,False,1.058274,0.252632,0.211111,519.81582,622.051065,0.077164,190,38,142,0,10
weighted_bce_lr0p001_h16_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p5/graph_SOR8_D5_seed42.pkl,False,1.826058,0.583908,0.301158,1042.577856,2021.427256,0.125654,435,78,166,15,176
weighted_bce_lr0p001_h16_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p5/graph_SOR16_D3_seed42.pkl,False,0.589725,0.470588,0.235849,788.564434,1573.417977,0.04576,153,25,73,8,47
weighted_bce_lr0p001_h16_d0p0_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.5,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p5/graph_SOR16_D5_seed42.pkl,False,1.831796,0.296552,0.217391,761.621809,1038.957198,0.124163,435,85,298,8,44
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR2_D5_seed42.pkl,False,0.183395,0.711111,0.0,0.0,2170.871317,0.014741,45,0,0,13,32
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR4_D5_seed42.pkl,False,0.954298,0.8,0.0,0.0,2395.465963,0.063453,190,0,0,38,152
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR8_D5_seed42.pkl,False,2.419318,0.754023,0.08547,153.791902,1356.762768,0.241752,435,10,24,83,318
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR16_D3_seed42.pkl,False,0.730361,0.784314,0.0,0.0,2480.692819,0.048374,153,0,0,33,120
weighted_bce_lr0p001_h16_d0p0_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.0,0.6,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p0_t0p6/graph_SOR16_D5_seed42.pkl,False,1.7007,0.786207,0.0,0.0,2339.427974,0.14619,435,0,0,93,342
