config_id,rank,strategy_label,balance_strategy,loss_name,learning_rate,hidden_channels,dropout,threshold,screening_scenarios,mean_sf_jaccard,mean_jaccard,mean_accuracy,median_ET,tp,fp,fn,tn
weighted_bce_lr0p005_h16_d0p1_t0p5,1,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,16,0.1,0.5,5,736.518681,0.238693,0.282119,0.063112,267,964,3,24
weighted_bce_lr0p001_h16_d0p0_t0p4,2,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,16,0.0,0.4,5,702.076753,0.227956,0.236547,0.051064,268,964,2,24
weighted_bce_lr0p005_h16_d0p1_t0p4,3,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,16,0.1,0.4,5,699.236468,0.226432,0.226432,0.062687,270,988,0,0
weighted_bce_lr0p001_h16_d0p1_t0p4,4,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,16,0.1,0.4,5,691.740995,0.226729,0.227812,0.062641,270,985,0,3
weighted_bce_lr0p001_h16_d0p1_t0p5,5,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,16,0.1,0.5,5,691.118933,0.21315,0.41739,0.04939,227,677,43,311
weighted_bce_lr0p01_h32_d0p0_t0p4,6,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,32,0.0,0.4,5,681.784008,0.226432,0.226432,0.058114,270,988,0,0
weighted_bce_lr0p005_h16_d0p0_t0p4,7,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,16,0.0,0.4,5,680.147102,0.226432,0.226432,0.069999,270,988,0,0
weighted_bce_lr0p01_h32_d0p0_t0p5,8,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,32,0.0,0.5,5,679.542306,0.226432,0.226432,0.054417,270,988,0,0
weighted_bce_lr0p001_h16_d0p0_t0p5,9,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,16,0.0,0.5,5,673.07559,0.216631,0.454069,0.077164,228,683,42,305
weighted_bce_lr0p01_h16_d0p1_t0p5,10,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,16,0.1,0.5,5,659.389962,0.226432,0.226432,0.065745,270,988,0,0
weighted_bce_lr0p005_h32_d0p1_t0p4,11,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,32,0.1,0.4,5,654.697371,0.226432,0.226432,0.074072,270,988,0,0
weighted_bce_lr0p01_h32_d0p1_t0p4,12,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,32,0.1,0.4,5,654.1451,0.226432,0.226432,0.065173,270,988,0,0
weighted_bce_lr0p01_h16_d0p1_t0p4,13,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,16,0.1,0.4,5,648.367593,0.226432,0.226432,0.086008,270,988,0,0
weighted_bce_lr0p001_h32_d0p0_t0p4,14,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,32,0.0,0.4,5,647.440881,0.226432,0.226432,0.070518,270,988,0,0
weighted_bce_lr0p005_h32_d0p0_t0p4,15,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,32,0.0,0.4,5,639.938403,0.226432,0.226432,0.068275,270,988,0,0
weighted_bce_lr0p001_h32_d0p1_t0p4,16,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,32,0.1,0.4,5,638.618854,0.226432,0.226432,0.073934,270,988,0,0
weighted_bce_lr0p001_h32_d0p1_t0p5,17,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,32,0.1,0.5,5,597.079161,0.207502,0.383948,0.089763,246,810,24,178
weighted_bce_lr0p005_h32_d0p1_t0p5,18,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,32,0.1,0.5,5,587.952103,0.183295,0.340158,0.058417,237,868,33,120
weighted_bce_lr0p01_h32_d0p1_t0p5,19,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,32,0.1,0.5,5,564.064782,0.226432,0.226432,0.069124,270,988,0,0
weighted_bce_lr0p01_h16_d0p0_t0p4,20,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,16,0.0,0.4,5,540.976823,0.226432,0.226432,0.075978,270,988,0,0
weighted_bce_lr0p005_h32_d0p0_t0p5,21,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,32,0.0,0.5,5,511.01607,0.168654,0.310877,0.063261,257,956,13,32
weighted_bce_lr0p001_h32_d0p0_t0p5,22,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,32,0.0,0.5,5,507.315399,0.19798,0.338769,0.073051,250,871,20,117
weighted_bce_lr0p01_h16_d0p0_t0p5,23,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,16,0.0,0.5,5,492.740348,0.168654,0.310877,0.064484,257,956,13,32
weighted_bce_lr0p005_h16_d0p0_t0p5,24,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,16,0.0,0.5,5,224.848171,0.097638,0.547217,0.05691,188,684,82,304
hard_negatives_lr0p005_h16_d0p0_t0p4,25,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,16,0.0,0.4,5,222.212571,0.07103,0.755943,0.062888,40,87,230,901
focal_loss_lr0p005_h32_d0p0_t0p4,26,Focal Loss,none_real_distribution,focal_loss,0.005,32,0.0,0.4,5,155.113532,0.057778,0.689123,0.066213,13,32,257,956
hard_negatives_lr0p01_h16_d0p1_t0p4,27,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,16,0.1,0.4,5,75.250128,0.028571,0.778012,0.070298,2,1,268,987
hard_negatives_lr0p005_h16_d0p1_t0p4,28,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,16,0.1,0.4,5,51.710571,0.023529,0.764679,0.07517,2,4,268,984
hard_negatives_lr0p001_h16_d0p0_t0p4,29,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,16,0.0,0.4,5,40.362157,0.012069,0.766211,0.058217,7,23,263,965
hard_negatives_lr0p005_h16_d0p0_t0p5,30,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,16,0.0,0.5,5,38.344311,0.020339,0.767591,0.064425,12,25,258,963
weighted_bce_lr0p001_h16_d0p0_t0p6,31,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,16,0.0,0.6,5,30.75838,0.017094,0.767131,0.063453,10,24,260,964
weighted_bce_lr0p001_h16_d0p1_t0p6,32,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,16,0.1,0.6,5,25.596709,0.007143,0.766671,0.053808,4,19,266,969
hard_negatives_lr0p001_h16_d0p1_t0p4,33,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,16,0.1,0.4,5,19.983475,0.006,0.771729,0.062487,3,7,267,981
hard_negatives_lr0p005_h16_d0p0_t0p6,34,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,16,0.0,0.6,5,0.0,0.0,0.773568,0.051058,0,0,270,988
hard_negatives_lr0p01_h32_d0p0_t0p4,35,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,32,0.0,0.4,5,0.0,0.0,0.773568,0.051208,0,0,270,988
weighted_bce_lr0p01_h16_d0p0_t0p6,36,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,16,0.0,0.6,5,0.0,0.0,0.773568,0.051595,0,0,270,988
weighted_bce_lr0p005_h32_d0p1_t0p6,37,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,32,0.1,0.6,5,0.0,0.0,0.773568,0.051715,0,0,270,988
hard_negatives_lr0p001_h16_d0p1_t0p6,38,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,16,0.1,0.6,5,0.0,0.0,0.773568,0.051815,0,0,270,988
weighted_bce_lr0p005_h16_d0p0_t0p6,39,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,16,0.0,0.6,5,0.0,0.0,0.773568,0.052292,0,0,270,988
focal_loss_lr0p001_h16_d0p0_t0p4,40,Focal Loss,none_real_distribution,focal_loss,0.001,16,0.0,0.4,5,0.0,0.0,0.773568,0.053721,0,0,270,988
hard_negatives_lr0p01_h32_d0p0_t0p6,41,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,32,0.0,0.6,5,0.0,0.0,0.773568,0.054768,0,0,270,988
focal_loss_lr0p005_h16_d0p0_t0p4,42,Focal Loss,none_real_distribution,focal_loss,0.005,16,0.0,0.4,5,0.0,0.0,0.773568,0.055638,0,0,270,988
weighted_bce_lr0p005_h16_d0p1_t0p6,43,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,16,0.1,0.6,5,0.0,0.0,0.773568,0.056423,0,0,270,988
focal_loss_lr0p01_h32_d0p0_t0p4,44,Focal Loss,none_real_distribution,focal_loss,0.01,32,0.0,0.4,5,0.0,0.0,0.773568,0.057892,0,0,270,988
focal_loss_lr0p005_h16_d0p0_t0p5,45,Focal Loss,none_real_distribution,focal_loss,0.005,16,0.0,0.5,5,0.0,0.0,0.773568,0.057903,0,0,270,988
focal_loss_lr0p001_h16_d0p1_t0p5,46,Focal Loss,none_real_distribution,focal_loss,0.001,16,0.1,0.5,5,0.0,0.0,0.773568,0.058477,0,0,270,988
focal_loss_lr0p001_h16_d0p1_t0p6,47,Focal Loss,none_real_distribution,focal_loss,0.001,16,0.1,0.6,5,0.0,0.0,0.773568,0.059476,0,0,270,988
weighted_bce_lr0p001_h32_d0p0_t0p6,48,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,32,0.0,0.6,5,0.0,0.0,0.773568,0.059668,0,0,270,988
focal_loss_lr0p01_h16_d0p1_t0p6,49,Focal Loss,none_real_distribution,focal_loss,0.01,16,0.1,0.6,5,0.0,0.0,0.773568,0.059757,0,0,270,988
hard_negatives_lr0p001_h32_d0p1_t0p4,50,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,32,0.1,0.4,5,0.0,0.0,0.773568,0.060181,0,0,270,988
hard_negatives_lr0p005_h32_d0p0_t0p6,51,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,32,0.0,0.6,5,0.0,0.0,0.773568,0.060302,0,0,270,988
hard_negatives_lr0p005_h32_d0p1_t0p4,52,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,32,0.1,0.4,5,0.0,0.0,0.773568,0.060539,0,0,270,988
hard_negatives_lr0p005_h32_d0p0_t0p4,53,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,32,0.0,0.4,5,0.0,0.0,0.773568,0.060745,0,0,270,988
weighted_bce_lr0p01_h32_d0p1_t0p6,54,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,32,0.1,0.6,5,0.0,0.0,0.773568,0.061236,0,0,270,988
focal_loss_lr0p001_h32_d0p1_t0p6,55,Focal Loss,none_real_distribution,focal_loss,0.001,32,0.1,0.6,5,0.0,0.0,0.773568,0.061909,0,0,270,988
focal_loss_lr0p001_h32_d0p1_t0p5,56,Focal Loss,none_real_distribution,focal_loss,0.001,32,0.1,0.5,5,0.0,0.0,0.773568,0.061915,0,0,270,988
hard_negatives_lr0p001_h32_d0p1_t0p5,57,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,32,0.1,0.5,5,0.0,0.0,0.773568,0.06259,0,0,270,988
focal_loss_lr0p001_h32_d0p0_t0p4,58,Focal Loss,none_real_distribution,focal_loss,0.001,32,0.0,0.4,5,0.0,0.0,0.773568,0.062674,0,0,270,988
focal_loss_lr0p005_h32_d0p1_t0p5,59,Focal Loss,none_real_distribution,focal_loss,0.005,32,0.1,0.5,5,0.0,0.0,0.773568,0.062707,0,0,270,988
hard_negatives_lr0p001_h32_d0p0_t0p5,60,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,32,0.0,0.5,5,0.0,0.0,0.773568,0.062953,0,0,270,988
hard_negatives_lr0p01_h16_d0p1_t0p5,61,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,16,0.1,0.5,5,0.0,0.0,0.773568,0.063317,0,0,270,988
hard_negatives_lr0p005_h32_d0p0_t0p5,62,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,32,0.0,0.5,5,0.0,0.0,0.773568,0.063629,0,0,270,988
hard_negatives_lr0p005_h16_d0p1_t0p5,63,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,16,0.1,0.5,5,0.0,0.0,0.773568,0.063739,0,0,270,988
hard_negatives_lr0p01_h32_d0p1_t0p6,64,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,32,0.1,0.6,5,0.0,0.0,0.773568,0.064082,0,0,270,988
weighted_bce_lr0p005_h32_d0p0_t0p6,65,Weighted BCE,class_weighted_loss,bce_with_logits,0.005,32,0.0,0.6,5,0.0,0.0,0.773568,0.06422,0,0,270,988
focal_loss_lr0p001_h32_d0p0_t0p5,66,Focal Loss,none_real_distribution,focal_loss,0.001,32,0.0,0.5,5,0.0,0.0,0.773568,0.064316,0,0,270,988
focal_loss_lr0p01_h32_d0p1_t0p4,67,Focal Loss,none_real_distribution,focal_loss,0.01,32,0.1,0.4,5,0.0,0.0,0.773568,0.065742,0,0,270,988
hard_negatives_lr0p005_h32_d0p1_t0p6,68,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,32,0.1,0.6,5,0.0,0.0,0.773568,0.06707,0,0,270,988
weighted_bce_lr0p001_h32_d0p1_t0p6,69,Weighted BCE,class_weighted_loss,bce_with_logits,0.001,32,0.1,0.6,5,0.0,0.0,0.773568,0.067157,0,0,270,988
