scenario,positive_pairs,negative_pairs,dataset_rows
graph_SOR2_D1_seed42,1,14,15
graph_SOR2_D2_seed42,3,63,66
graph_SOR2_D3_seed42,5,148,153
graph_SOR2_D4_seed42,7,269,276
graph_SOR2_D5_seed42,17,418,435
graph_SOR4_D1_seed42,8,58,66
graph_SOR4_D2_seed42,23,253,276
graph_SOR4_D3_seed42,44,586,630
graph_SOR4_D4_seed42,75,1053,1128
graph_SOR4_D5_seed42,116,1654,1770
graph_SOR8_D1_seed42,23,187,210
graph_SOR8_D2_seed42,62,799,861
graph_SOR8_D3_seed42,142,1811,1953
graph_SOR8_D4_seed42,246,3240,3486
graph_SOR8_D5_seed42,376,5084,5460
graph_SOR16_D1_seed42,17,389,406
graph_SOR16_D2_seed42,45,1608,1653
graph_SOR16_D3_seed42,102,3639,3741
graph_SOR16_D4_seed42,192,6478,6670
graph_SOR16_D5_seed42,290,10150,10440
