scenario,schema,nodes,edges,positive_pairs,gml_path,labels_path
graph_SOR2_D1_seed42,scenario_sor2_d1_seed42,6,6,1,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR2_D1_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR2_D1_seed42.json
graph_SOR2_D2_seed42,scenario_sor2_d2_seed42,12,13,2,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR2_D2_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR2_D2_seed42.json
graph_SOR2_D3_seed42,scenario_sor2_d3_seed42,18,19,6,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR2_D3_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR2_D3_seed42.json
graph_SOR2_D4_seed42,scenario_sor2_d4_seed42,24,24,8,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR2_D4_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR2_D4_seed42.json
graph_SOR2_D5_seed42,scenario_sor2_d5_seed42,30,32,13,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR2_D5_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR2_D5_seed42.json
graph_SOR4_D1_seed42,scenario_sor4_d1_seed42,12,14,3,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR4_D1_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR4_D1_seed42.json
graph_SOR4_D2_seed42,scenario_sor4_d2_seed42,24,32,12,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR4_D2_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR4_D2_seed42.json
graph_SOR4_D3_seed42,scenario_sor4_d3_seed42,36,42,14,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR4_D3_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR4_D3_seed42.json
graph_SOR4_D4_seed42,scenario_sor4_d4_seed42,48,63,30,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR4_D4_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR4_D4_seed42.json
graph_SOR4_D5_seed42,scenario_sor4_d5_seed42,60,70,38,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR4_D5_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR4_D5_seed42.json
graph_SOR8_D1_seed42,scenario_sor8_d1_seed42,21,30,4,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR8_D1_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR8_D1_seed42.json
graph_SOR8_D2_seed42,scenario_sor8_d2_seed42,42,61,17,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR8_D2_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR8_D2_seed42.json
graph_SOR8_D3_seed42,scenario_sor8_d3_seed42,63,92,34,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR8_D3_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR8_D3_seed42.json
graph_SOR8_D4_seed42,scenario_sor8_d4_seed42,84,122,62,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR8_D4_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR8_D4_seed42.json
graph_SOR8_D5_seed42,scenario_sor8_d5_seed42,105,153,93,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR8_D5_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR8_D5_seed42.json
graph_SOR16_D1_seed42,scenario_sor16_d1_seed42,29,30,3,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/gml/graph_SOR16_D1_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec/real_pairs/graph_SOR16_D1_seed42.json
