scenario,positive_pairs,negative_pairs,dataset_rows
graph_SOR2_D1_seed42,1,0,1
graph_SOR2_D2_seed42,2,4,6
graph_SOR2_D3_seed42,6,9,15
graph_SOR2_D4_seed42,8,20,28
graph_SOR2_D5_seed42,13,32,45
graph_SOR4_D1_seed42,3,3,6
graph_SOR4_D2_seed42,12,16,28
graph_SOR4_D3_seed42,14,52,66
graph_SOR4_D4_seed42,30,90,120
graph_SOR4_D5_seed42,38,152,190
graph_SOR8_D1_seed42,4,11,15
graph_SOR8_D2_seed42,17,49,66
graph_SOR8_D3_seed42,34,119,153
graph_SOR8_D4_seed42,62,214,276
graph_SOR8_D5_seed42,93,342,435
graph_SOR16_D1_seed42,3,12,15
graph_SOR16_D2_seed42,14,52,66
graph_SOR16_D3_seed42,33,120,153
graph_SOR16_D4_seed42,59,217,276
graph_SOR16_D5_seed42,93,342,435
