scenario,positive_pairs,negative_pairs,dataset_rows
graph_SOR2_D1_seed42,1,5,6
graph_SOR2_D2_seed42,3,25,28
graph_SOR2_D3_seed42,5,61,66
graph_SOR2_D4_seed42,7,113,120
graph_SOR2_D5_seed42,17,173,190
graph_SOR4_D1_seed42,8,20,28
graph_SOR4_D2_seed42,23,97,120
graph_SOR4_D3_seed42,44,232,276
graph_SOR4_D4_seed42,75,421,496
graph_SOR4_D5_seed42,116,664,780
graph_SOR8_D1_seed42,23,82,105
graph_SOR8_D2_seed42,62,373,435
graph_SOR8_D3_seed42,142,848,990
graph_SOR8_D4_seed42,246,1524,1770
graph_SOR8_D5_seed42,376,2399,2775
graph_SOR16_D1_seed42,17,236,253
graph_SOR16_D2_seed42,45,990,1035
graph_SOR16_D3_seed42,102,2244,2346
graph_SOR16_D4_seed42,192,3994,4186
graph_SOR16_D5_seed42,290,6265,6555
