scenario,schema,nodes,edges,positive_pairs,gml_path,labels_path
graph_SOR2_D1_seed42,scenario_sor2_d1_seed42,6,6,2,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR2_D1_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR2_D1_seed42.json
graph_SOR2_D2_seed42,scenario_sor2_d2_seed42,12,13,4,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR2_D2_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR2_D2_seed42.json
graph_SOR2_D3_seed42,scenario_sor2_d3_seed42,18,19,9,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR2_D3_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR2_D3_seed42.json
graph_SOR2_D4_seed42,scenario_sor2_d4_seed42,24,24,13,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR2_D4_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR2_D4_seed42.json
graph_SOR2_D5_seed42,scenario_sor2_d5_seed42,30,32,25,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR2_D5_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR2_D5_seed42.json
graph_SOR4_D1_seed42,scenario_sor4_d1_seed42,12,14,9,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR4_D1_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR4_D1_seed42.json
graph_SOR4_D2_seed42,scenario_sor4_d2_seed42,24,32,27,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR4_D2_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR4_D2_seed42.json
graph_SOR4_D3_seed42,scenario_sor4_d3_seed42,36,42,48,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR4_D3_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR4_D3_seed42.json
graph_SOR4_D4_seed42,scenario_sor4_d4_seed42,48,63,82,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR4_D4_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR4_D4_seed42.json
graph_SOR4_D5_seed42,scenario_sor4_d5_seed42,60,70,121,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR4_D5_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR4_D5_seed42.json
graph_SOR8_D1_seed42,scenario_sor8_d1_seed42,21,30,23,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR8_D1_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR8_D1_seed42.json
graph_SOR8_D2_seed42,scenario_sor8_d2_seed42,42,61,64,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/gml/graph_SOR8_D2_seed42.gml,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_full_lineage/real_pairs/graph_SOR8_D2_seed42.json
