scenario,positive_pairs,negative_pairs,dataset_rows
graph_SOR2_D1_seed42,2,13,15
graph_SOR2_D2_seed42,4,62,66
graph_SOR2_D3_seed42,9,144,153
graph_SOR2_D4_seed42,13,263,276
graph_SOR2_D5_seed42,25,410,435
graph_SOR4_D1_seed42,9,57,66
graph_SOR4_D2_seed42,27,249,276
graph_SOR4_D3_seed42,48,582,630
graph_SOR4_D4_seed42,82,1046,1128
graph_SOR4_D5_seed42,121,1649,1770
graph_SOR8_D1_seed42,23,187,210
graph_SOR8_D2_seed42,64,797,861
graph_SOR8_D3_seed42,149,1804,1953
graph_SOR8_D4_seed42,247,3239,3486
graph_SOR8_D5_seed42,395,5065,5460
graph_SOR16_D1_seed42,17,389,406
graph_SOR16_D2_seed42,46,1607,1653
graph_SOR16_D3_seed42,109,3632,3741
graph_SOR16_D4_seed42,192,6478,6670
graph_SOR16_D5_seed42,309,10131,10440
