model,phase,device_requested,device_resolved,train_batch_size,inference_batch_size,batched_inference,elapsed_seconds,epochs,jaccard,sf_jaccard,tp,fp,fn,artifact
GNN/GIN,train,cpu,cpu,1,,,0.3817028749999999,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_cpu_trainb1.pkl
GNN/GIN,inference,cpu,cpu,1,1,False,0.032755458000000015,1,0.012987012987012988,160.97247892938242,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_cpu_trainb1.pkl
GNN/GIN,inference,cpu,cpu,1,4096,True,0.002432208999999963,1,0.012987012987012988,2167.87589912189,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_cpu_trainb1.pkl
GNN/GIN,train,cpu,cpu,16,,,0.00952200000000003,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_cpu_trainb16.pkl
GNN/GIN,inference,cpu,cpu,16,1,False,0.03140999999999994,1,0.012987012987012988,167.8677896442943,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_cpu_trainb16.pkl
GNN/GIN,inference,cpu,cpu,16,4096,True,0.0024786249999999566,1,0.012987012987012988,2127.2791457874287,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_cpu_trainb16.pkl
GNN/GIN,train,mps,mps,1,,,1.92517625,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_mps_trainb1.pkl
GNN/GIN,inference,mps,mps,1,1,False,0.592114333,1,0.012987012987012988,8.904914099972096,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_mps_trainb1.pkl
GNN/GIN,inference,mps,mps,1,4096,True,0.055013709000000244,1,0.012987012987012988,95.84387907252808,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_mps_trainb1.pkl
GNN/GIN,train,mps,mps,16,,,0.5067565829999996,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_mps_trainb16.pkl
GNN/GIN,inference,mps,mps,16,1,False,0.7830347079999997,1,0.012987012987012988,6.733708249273767,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_mps_trainb16.pkl
GNN/GIN,inference,mps,mps,16,4096,True,0.03301479200000035,1,0.012987012987012988,159.70802641213726,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_112855_39239_233326000_batched_execution_probe/models/gnn_mps_trainb16.pkl
VMamba-T,train,cpu,cpu,1,,,0.3702764580000002,1,,,,,,in_memory
VMamba-T,inference,cpu,cpu,1,1,False,0.016276207999999848,1,0.2,4988.877016071604,3,12,0,in_memory
VMamba-T,inference,cpu,cpu,1,4096,True,0.015649458000000394,1,0.2,5188.678099905949,3,12,0,in_memory
VMamba-T,train,cpu,cpu,16,,,0.10593883399999982,1,,,,,,in_memory
VMamba-T,inference,cpu,cpu,16,1,False,0.016262166999999828,1,0.2,4993.184487651668,3,12,0,in_memory
VMamba-T,inference,cpu,cpu,16,4096,True,0.015277000000000207,1,0.2,5315.179681874642,3,12,0,in_memory
VMamba-T,train,mps,mps,1,,,0.8772667919999995,1,,,,,,in_memory
VMamba-T,inference,mps,mps,1,1,False,0.06870170799999986,1,0.2,1181.9211248721817,3,12,0,in_memory
VMamba-T,inference,mps,mps,1,4096,True,0.06968291699999973,1,0.2,1165.278428283941,3,12,0,in_memory
VMamba-T,train,mps,mps,16,,,1.1051787919999994,1,,,,,,in_memory
VMamba-T,inference,mps,mps,16,1,False,0.07847762500000055,1,0.2,1034.6898240103396,3,12,0,in_memory
VMamba-T,inference,mps,mps,16,4096,True,0.060162915999999456,1,0.2,1349.6686231099693,3,12,0,in_memory
VMamba-Mesh-T,train,cpu,cpu,1,,,0.33652000000000015,1,,,,,,in_memory
VMamba-Mesh-T,inference,cpu,cpu,1,1,False,0.016415499999999028,1,0.0,0.0,0,0,3,in_memory
VMamba-Mesh-T,inference,cpu,cpu,1,4096,True,0.015532958000001429,1,0.0,0.0,0,0,3,in_memory
VMamba-Mesh-T,train,cpu,cpu,16,,,0.09999829200000043,1,,,,,,in_memory
VMamba-Mesh-T,inference,cpu,cpu,16,1,False,0.016057791999999793,1,0.2,5056.73507291669,3,12,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,16,4096,True,0.015581791000000678,1,0.2,5211.210957713171,3,12,0,in_memory
