model,phase,device_requested,device_resolved,train_batch_size,inference_batch_size,encoder_batch_size,batched_inference,elapsed_seconds,epochs,jaccard,sf_jaccard,tp,fp,fn,artifact
GNN/GIN,train,cpu,cpu,4,,,,1.1537675,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_114233_39656_043483000_batched_execution_probe/models/gnn_cpu_trainb4.pkl
GNN/GIN,inference,cpu,cpu,4,1,1,False,0.0040977090000000604,1,0.06666666666666667,244.0388031458518,1,14,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_114233_39656_043483000_batched_execution_probe/models/gnn_cpu_trainb4.pkl
GNN/GIN,inference,cpu,cpu,4,16,4,True,0.0006340410000000851,1,0.06666666666666667,1577.1850716276483,1,14,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_114233_39656_043483000_batched_execution_probe/models/gnn_cpu_trainb4.pkl
GNN/GIN,inference,cpu,cpu,4,16,16,True,0.0005239580000000466,1,0.06666666666666667,1908.5499219401386,1,14,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_114233_39656_043483000_batched_execution_probe/models/gnn_cpu_trainb4.pkl
VMamba-T,train,cpu,cpu,4,,,,0.06056629200000008,1,,,,,,in_memory
VMamba-T,inference,cpu,cpu,4,1,1,False,0.008539458,1,1.0,1756.5517624186452,1,0,0,in_memory
VMamba-T,inference,cpu,cpu,4,1,4,True,0.007612540999999862,1,1.0,1970.4327372424361,1,0,0,in_memory
VMamba-T,inference,cpu,cpu,4,1,16,True,0.007296666000000007,1,1.0,2055.7333993360785,1,0,0,in_memory
VMamba-T,inference,cpu,cpu,4,16,1,True,0.008175917000000199,1,1.0,1834.6565895910678,1,0,0,in_memory
VMamba-T,inference,cpu,cpu,4,16,4,True,0.007400583000000127,1,1.0,2026.8673427485028,1,0,0,in_memory
VMamba-T,inference,cpu,cpu,4,16,16,True,0.007563957999999982,1,1.0,1983.0887479808898,1,0,0,in_memory
VMamba-Mesh-T,train,cpu,cpu,4,,,,0.03704554199999999,1,,,,,,in_memory
VMamba-Mesh-T,inference,cpu,cpu,4,1,1,False,0.008114084000000021,1,1.0,1848.6375048619118,1,0,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,4,1,4,True,0.007559040999999933,1,1.0,1984.3787062406636,1,0,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,4,1,16,True,0.007300040999999924,1,1.0,2054.782979986024,1,0,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,4,16,1,True,0.007858458000000068,1,1.0,1908.7714154608793,1,0,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,4,16,4,True,0.007406916999999957,1,1.0,2025.134074001381,1,0,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,4,16,16,True,0.007475250000000155,1,1.0,2006.6218521119279,1,0,0,in_memory
