algorithm,ci_level,ci_unit,jaccard_ci_low,jaccard_ci_high,sf_jaccard_ci_low,sf_jaccard_ci_high,ET_ci_low,ET_ci_high,accuracy_ci_low,accuracy_ci_high
VF2,0.95,scenario bootstrap,0.17032640949554897,0.19827586206896552,389.6330799,737.3651567000001,0.009832,0.055693,0.41656942823803966,0.49333333333333335
Node Match,0.95,scenario bootstrap,0.0,0.0,0.0,0.0,0.007032,0.039712,0.7605066206102475,0.7826404084609774
GNN TPC-DS v1 cluster,0.95,scenario bootstrap,0.003372681281618887,0.17929759704251386,53.9130435,702.8075831999998,0.0040225,0.028449000000000002,0.4774447471995156,0.7779439252336449
GNN GenAI v2 Weighted BCE,0.95,scenario bootstrap,0.19581363943281566,0.24364232977850697,984.6156262500001,1684.2214947500004,0.003869,0.025351,0.25968436154949787,0.5511363636363636
GNN GenAI v2 Focal Loss,0.95,scenario bootstrap,0.0,0.008032128514056224,0.0,359.49670455000006,0.0038175,0.0249915,0.7610823258491652,0.7830491722263405
GNN GenAI v2 Hard Negatives,0.95,scenario bootstrap,0.0,0.030405405405405407,0.0,686.4904705499999,0.0039365,0.0252215,0.7614545454545455,0.7837295903752507
Vanilla VMamba graph-image proxy,0.95,scenario bootstrap,0.23637176050044684,0.2936802973977695,3362.872591550001,7012.987168400001,0.001608,0.016218,0.37880032867707475,0.6721816083108888
VMamba-Mesh Isomera adapter,0.95,scenario bootstrap,0.25370065789473684,0.3270042194092827,3623.2431878,7529.206652500002,0.001609,0.016076,0.5143293847917463,0.684010152284264
VMamba-T (hardneg-smoke),0.95,scenario bootstrap,1.0,1.0,131.1031292612596,131.1031292612596,0.007627583000000104,0.007627583000000104,1.0,1.0
VMamba-Mesh-T (hardneg-smoke),0.95,scenario bootstrap,1.0,1.0,127.89019041314452,127.89019041314452,0.007819208000000133,0.007819208000000133,1.0,1.0
