benchmark,scenario,algorithm,family,family_base,variant,experiment_tag,channel_contract,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,inference_batch_size,encoder_batch_size,learning_rate,loss,negative_ratio,hard_negative_mining,hard_negative_agent,optimizer,dropout,drop_path_rate,weight_decay,requested_device,resolved_device,mps_available,mps_fallback_reason,threshold,candidate_pairs,N_pairs,elapsed_seconds,ET,sf_jaccard,tp_per_second,pickle_path,metadata_path,tp,fp,fn,tn,jaccard,accuracy,precision,recall,f1
tpc_ds_genai_spec_v2,graph_SOR2_D1_seed42,VMamba-T (hardneg-mps-spec),VMamba-T (hardneg-mps-spec),VMamba-T,vmamba_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,1,1,0.1878621250000001,0.1878621250000001,5.323052744133494,5.323052744133494,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D1_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D1_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,1,0,0,0,1.0,1.0,1.0,1.0,1.0
tpc_ds_genai_spec_v2,graph_SOR2_D1_seed42,VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,1,1,0.0865759999999999,0.0865759999999999,11.55054518573277,11.55054518573277,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D1_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D1_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,1,0,0,0,1.0,1.0,1.0,1.0,1.0
tpc_ds_genai_spec_v2,graph_SOR2_D2_seed42,VMamba-T (hardneg-mps-spec),VMamba-T (hardneg-mps-spec),VMamba-T,vmamba_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.5,6,6,0.0797706659999999,0.0797706659999999,30.086247493533556,25.071872911277957,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D2_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D2_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,2,3,0,1,0.4,0.5,0.4,1.0,0.5714285714285715
tpc_ds_genai_spec_v2,graph_SOR2_D2_seed42,VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.4,6,6,0.0705533330000003,0.0705533330000003,42.52102448512228,28.34734965674819,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D2_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D2_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,2,2,0,2,0.5,0.6666666666666666,0.5,1.0,0.6666666666666666
tpc_ds_genai_spec_v2,graph_SOR2_D3_seed42,VMamba-T (hardneg-mps-spec),VMamba-T (hardneg-mps-spec),VMamba-T,vmamba_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,15,15,0.1719604579999991,0.1719604579999991,34.89174237951861,34.89174237951861,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D3_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D3_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,6,9,0,0,0.4,0.4,0.4,1.0,0.5714285714285715
tpc_ds_genai_spec_v2,graph_SOR2_D3_seed42,VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,15,15,0.0744257920000013,0.0744257920000013,80.61721398947147,80.61721398947147,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D3_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D3_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,6,9,0,0,0.4,0.4,0.4,1.0,0.5714285714285715
tpc_ds_genai_spec_v2,graph_SOR2_D4_seed42,VMamba-T (hardneg-mps-spec),VMamba-T (hardneg-mps-spec),VMamba-T,vmamba_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.5,28,28,0.2295974590000007,0.2295974590000007,76.22035573137569,21.77724449467877,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D4_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D4_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,5,0,3,20,0.625,0.8928571428571429,1.0,0.625,0.7692307692307693
tpc_ds_genai_spec_v2,graph_SOR2_D4_seed42,VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.45,28,28,0.0759909590000003,0.0759909590000003,267.97446211510874,105.2756815452213,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D4_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D4_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,8,3,0,17,0.7272727272727273,0.8928571428571429,0.7272727272727273,1.0,0.8421052631578948
tpc_ds_genai_spec_v2,graph_SOR2_D5_seed42,VMamba-T (hardneg-mps-spec),VMamba-T (hardneg-mps-spec),VMamba-T,vmamba_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.55,45,45,0.1328737919999998,0.1328737919999998,193.52413540125164,60.20750879150051,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D5_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D5_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,8,1,5,31,0.5714285714285714,0.8666666666666667,0.8888888888888888,0.6153846153846154,0.7272727272727274
tpc_ds_genai_spec_v2,graph_SOR2_D5_seed42,VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T (hardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,hardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,isomera_structural_hard_negative_miner,adamw,0.1,0.15,0.05,mps,mps,True,,0.575,45,45,0.072319083,0.072319083,355.5670875180443,110.62087167228046,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D5_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D5_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_hardneg_mps_spec_lr0p001_seed42.json,8,1,5,31,0.5714285714285714,0.8666666666666667,0.8888888888888888,0.6153846153846154,0.7272727272727274
