benchmark,scenario,algorithm,family,family_base,variant,experiment_tag,channel_contract,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,inference_batch_size,encoder_batch_size,learning_rate,loss,negative_ratio,hard_negative_mining,hard_negative_strategy,hard_negative_agent,hard_negative_manifest_path,hard_negative_manifest_id,optimizer,dropout,drop_path_rate,weight_decay,requested_device,resolved_device,mps_available,mps_fallback_reason,threshold,candidate_pairs,N_pairs,elapsed_seconds,ET,sf_jaccard,tp_per_second,pickle_path,metadata_path,tp,fp,fn,tn,jaccard,accuracy,precision,recall,f1
tpc_ds_genai_spec_v2,graph_SOR2_D1_seed42,VMamba-T (llmhardneg-mps-spec),VMamba-T (llmhardneg-mps-spec),VMamba-T,vmamba_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,1,1,0.19375541600000012,0.19375541600000012,5.161146050234794,5.161146050234794,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D1_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D1_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,1,0,0,0,1.0,1.0,1.0,1.0,1.0
tpc_ds_genai_spec_v2,graph_SOR2_D1_seed42,VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,1,1,0.07531949999999998,0.07531949999999998,13.276774274922168,13.276774274922168,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D1_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D1_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,1,0,0,0,1.0,1.0,1.0,1.0,1.0
tpc_ds_genai_spec_v2,graph_SOR2_D2_seed42,VMamba-T (llmhardneg-mps-spec),VMamba-T (llmhardneg-mps-spec),VMamba-T,vmamba_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.5,6,6,0.0864719169999999,0.0864719169999999,27.754675543968837,23.128896286640696,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D2_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D2_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,2,3,0,1,0.4,0.5,0.4,1.0,0.5714285714285715
tpc_ds_genai_spec_v2,graph_SOR2_D2_seed42,VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,6,6,0.06774850000000043,0.06774850000000043,29.52094880329435,29.52094880329435,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D2_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D2_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,2,4,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5
tpc_ds_genai_spec_v2,graph_SOR2_D3_seed42,VMamba-T (llmhardneg-mps-spec),VMamba-T (llmhardneg-mps-spec),VMamba-T,vmamba_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,15,15,0.18373020900000014,0.18373020900000014,32.65657853793654,32.65657853793654,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D3_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D3_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,6,9,0,0,0.4,0.4,0.4,1.0,0.5714285714285715
tpc_ds_genai_spec_v2,graph_SOR2_D3_seed42,VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.1,15,15,0.07001116600000046,0.07001116600000046,85.70061524185958,85.70061524185958,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D3_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D3_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,6,9,0,0,0.4,0.4,0.4,1.0,0.5714285714285715
tpc_ds_genai_spec_v2,graph_SOR2_D4_seed42,VMamba-T (llmhardneg-mps-spec),VMamba-T (llmhardneg-mps-spec),VMamba-T,vmamba_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.5,28,28,0.17995141699999984,0.17995141699999984,97.24847012457822,27.78527717845092,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D4_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D4_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,5,0,3,20,0.625,0.8928571428571429,1.0,0.625,0.7692307692307693
tpc_ds_genai_spec_v2,graph_SOR2_D4_seed42,VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.45,28,28,0.06870716599999938,0.06870716599999938,296.3830055752343,116.43618076169919,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D4_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D4_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,8,3,0,17,0.7272727272727273,0.8928571428571429,0.7272727272727273,1.0,0.8421052631578948
tpc_ds_genai_spec_v2,graph_SOR2_D5_seed42,VMamba-T (llmhardneg-mps-spec),VMamba-T (llmhardneg-mps-spec),VMamba-T,vmamba_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.525,45,45,0.07860129100000002,0.07860129100000002,327.1483888767896,101.7794987616679,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D5_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_t/VMambaT_graph_SOR2_D5_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,8,1,5,31,0.5714285714285714,0.8666666666666667,0.8888888888888888,0.6153846153846154,0.7272727272727274
tpc_ds_genai_spec_v2,graph_SOR2_D5_seed42,VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T (llmhardneg-mps-spec),VMamba-Mesh-T,vmamba_mesh_t,llmhardneg-mps-spec,"[{""channel"": ""C0"", ""name"": ""Forward adjacency"", ""role"": ""edges in canonical lineage direction""}, {""channel"": ""C1"", ""name"": ""Reverse adjacency"", ""role"": ""reverse edges for bidirectional scan context""}, {""channel"": ""C2"", ""name"": ""Layer diagonal"", ""role"": ""SOR/SOT/SPEC layer identity on the diagonal""}, {""channel"": ""C3"", ""name"": ""Degree fingerprint"", ""role"": ""local structural degree signature on the diagonal""}, {""channel"": ""C4"", ""name"": ""Lineage route bias"", ""role"": ""route prior for SOR -> SOT -> SPEC traversal""}, {""channel"": ""C5"", ""name"": ""Sparse mask"", ""role"": ""occupied cells so sparse zeros are not treated as missing evidence""}]",article_cpu,16,2,2-2-8-2,16-32-64-128,128,128,10,16,4096,64,0.001,weighted_bce,16,True,structural_plus_llm_manifest,codex_gpt5_llm_hard_negative_reviewer,research/vmamba/manifests/llm_hard_negatives_article_iv_20260604.json,llm_hard_negatives_article_iv_20260604,adamw,0.1,0.15,0.05,mps,mps,True,,0.575,45,45,0.07688408299999949,0.07688408299999949,543.489792103192,169.08571309877087,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D5_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.pkl,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh_t/VMambaMeshT_graph_SOR2_D5_seed42_article_cpu_r16_d2-2-8-2_w16-32-64-128_lossweighted_bce_nr16_hardneg_llmhardneg_mps_spec_lr0p001_seed42.json,13,1,0,31,0.9285714285714286,0.9777777777777777,0.9285714285714286,1.0,0.962962962962963
