scenario,algorithm,artifact_path,artifact_role,route_mode,route_source,inference_threshold,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,median_execution_time,N_pairs,tp,fp,fn,tn,precision,recall,f1,runs,benchmark,family,family_base,variant,experiment_tag,channel_contract,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,inference_batch_size,encoder_batch_size,learning_rate,loss,negative_ratio,hard_negative_mining,hard_negative_strategy,hard_negative_agent,hard_negative_manifest_path,hard_negative_manifest_id,false_positive_replay_rounds,false_positive_replay_top_k,false_positive_replay_weight,false_positive_replay_epochs,threshold_policy,threshold_precision_floor,optimizer,dropout,drop_path_rate,weight_decay,requested_device,resolved_device,mps_available,mps_fallback_reason,threshold,candidate_pairs,elapsed_seconds,tp_per_second,pickle_path,metadata_path
graph_SOR16_D1_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.266667,0.083333,121.577342,389.047496,0.010282,0.010282,15,1,9,2,3,0.1,0.333333,0.153846,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D1_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.8,0.0,0.0,1544.890263,0.007768,0.007768,15,0,0,3,12,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D1_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR16_D1_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.8,0.0,0.0,3664.588743,0.003275,0.003275,15,0,0,3,12,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D1_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR16_D1_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.2,0.2,1012.929026,1012.929026,0.002962,0.002962,15,3,12,0,0,0.2,1.0,0.333333,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D1_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR16_D1_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.8,0.0,0.0,4096.64113,0.002929,0.002929,15,0,0,3,12,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D1_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR16_D1_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.8,0.0,0.0,4141.679969,0.002897,0.002897,15,0,0,3,12,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D2_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.439394,0.097561,132.321012,595.945769,0.048662,0.048662,66,4,27,10,25,0.129032,0.285714,0.177778,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D2_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.787879,0.0,0.0,1569.636588,0.033129,0.033129,66,0,0,14,52,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D2_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR16_D2_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.787879,0.0,0.0,4277.400265,0.012157,0.012157,66,0,0,14,52,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D2_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR16_D2_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.272727,0.225806,1294.185978,1563.10774,0.011516,0.011516,66,14,48,0,4,0.225806,1.0,0.368421,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
